RID=3d8032e4-d30f-40c1-83ff-b50699eb8ae5
VIDEO_ID=1
STAGE=after_complete
SINCE=15m

===== WEB (learning_app-web-1) (rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 OR video_id=1) =====
2026-02-24 08:14:15 INFO [uvicorn.access] rid=065ae34d-bcb7-4a8d-825d-fdbb7a35f2d2 tid=53784fa6-86bc-42fd-b7fc-b8f3bb645e96 172.18.0.1:56078 - "POST /api/v1/videos/1/upload/direct HTTP/1.1" 200
2026-02-24 08:14:16 INFO [service.storage_service] rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 tid=678833cc-e250-4d64-a516-f14bafe62273 Local storage initialized at: uploads
2026-02-24 08:14:16 INFO [uvicorn.access] rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 tid=678833cc-e250-4d64-a516-f14bafe62273 172.18.0.1:56094 - "POST /api/v1/videos/1/upload/complete HTTP/1.1" 200

===== OUTBOX (learning_app-outbox-1) (rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 OR video_id=1) =====
2026-02-24 08:14:10 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:11 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:11 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:12 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:12 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:13 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:13 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:14 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:14 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:15 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:15 INFO [outbox] rid=- tid=- outbox batch: claimed=0 published=0 failed=0
2026-02-24 08:14:16 INFO [outbox] rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 tid=678833cc-e250-4d64-a516-f14bafe62273 published to worker queue event_type=video.process.requested event_id=a5e03939-32fe-4729-a1cd-f17d94cd5aef
2026-02-24 08:14:16 INFO [outbox] rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 tid=678833cc-e250-4d64-a516-f14bafe62273 outbox batch: claimed=1 published=1 failed=0

===== WORKER (learning_app-worker-1) (rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 OR video_id=1) =====
2026-02-24 08:14:16 INFO [worker] rid=3d8032e4-d30f-40c1-83ff-b50699eb8ae5 tid=678833cc-e250-4d64-a516-f14bafe62273 start video_id=1 key=original/u1/v1/ccae3cbf-b517-4c2a-9fd6-3c9a914a6d72.mp4 event_id=a5e03939-32fe-4729-a1cd-f17d94cd5aef

===== RABBITMQ (learning_app-rabbitmq-1) (contains rid) =====

